weight(1=default),content,style,C
1,130066,10,0.386305
1,117025,10,0.249384
1,296028,10,0.332393
1,230063,10,0.331625
1,238025,10,0.263851
1,108036,10,0.335498
1,69000,10,0.308581
1,306052,10,0.237516
1,8068,10,0.294028
1,14092,10,0.348094
1,243095,9,0.515432
1,160067,9,0.237513
1,232076,9,0.245846
1,33044,9,0.25033
1,41006,9,0.361379
1,181021,9,0.463459
1,247012,9,0.38829
1,372019,9,0.275554
1,71099,9,0.469857
1,189029,9,0.344118
1,107072,2,0.365794
1,100099,2,0.269005
1,100039,2,0.357609
1,23050,2,0.479693
1,317043,2,0.290931
1,41085,2,0.377043
1,223060,2,0.253365
1,179084,2,0.323113
1,285022,2,0.348018
1,196088,2,0.32334
1,253016,3,0.530628
1,159002,3,0.431873
1,43051,3,0.148094
1,61034,3,0.438325
1,107014,3,0.412149
1,230098,3,0.365606
1,267036,3,0.45843
1,344010,3,0.342907
1,45000,3,0.452199
1,103006,3,0.357388
1,41096,6,0.212202
1,49024,6,0.262851
1,250047,6,0.445316
1,20069,6,0.363799
1,123057,6,0.35191
1,141048,6,0.291516
1,279005,6,0.301434
1,35049,6,0.27141
1,156054,6,0.355435
1,102062,6,0.318398
1,48025,1,0.371443
1,201080,1,0.35459
1,48017,1,0.259409
1,120093,1,0.44421
1,146074,1,0.455851
1,198087,1,0.434412
1,101084,1,0.406636
1,109055,1,0.335722
1,376086,1,0.487013
1,235098,1,0.390352
1,107045,8,0.414282
1,51084,8,0.439612
1,147080,8,0.432938
1,268048,8,0.337982
1,140088,8,0.433671
1,226033,8,0.405671
1,217013,8,0.424188
1,134067,8,0.36789
1,103078,8,0.365953
1,388006,8,0.276748
1,393035,5,0.397879
1,189006,5,0.40263
1,69022,5,0.259646
1,104010,5,0.453781
1,296058,5,0.455043
1,208078,5,0.288723
1,207038,5,0.441587
1,41029,5,0.282313
1,145059,5,0.424711
1,289011,5,0.46105
1,103029,4,0.287252
1,368037,4,0.38186
1,223004,4,0.391955
1,217090,4,0.449488
1,118031,4,0.405438
1,164046,4,0.192155
1,385022,4,0.340372
1,5096,4,0.393348
1,16068,4,0.293393
1,77062,4,0.466131
1,97010,7,0.282352
1,15062,7,0.371311
1,108004,7,0.338843
1,78098,7,0.417414
1,183066,7,0.259707
1,185092,7,0.308906
1,253092,7,0.317741
1,159022,7,0.287345
1,202000,7,0.391431
1,384089,7,0.405984